riesgo,probabilidad,impacto,mitigacion,dueno
El asistente recomienda una dosis,Media,Crítico,Guardrails de entrada y salida más batería automatizada de pruebas adversarias,Diego
Dataset ficticio presentado como verdad clínica,Media,Crítico,Aviso visible prompt restrictivo y cita del corpus educativo,Nicolas
API MINSAL no responde,Media,Alto,Timeout 5 s cache 15 min fallback fechado y mensaje controlado,Diego
MINSAL entrega registros antiguos,Media,Alto,Validación contra fecha de Chile y descarte de registros no vigentes,Diego
Retrieval recupera una ficha irrelevante,Media,Alto,Top k 4 umbral configurable abstención y evaluación específica de retrieval y grounding,Nicolas
NDC duplicado se usa como clave,Baja,Alto,Excluir NDC del contexto y usar UUID determinístico por medicamento,Nicolas
Colección Qdrant incompatible,Baja,Alto,Colección versionada y verificación de 256 dimensiones,Nicolas
Secretos expuestos,Baja,Crítico,Variables de entorno archivo .env ignorado y revisión previa al deploy,Diego
Persistencia de memoria dependiente del almacenamiento local,Media,Medio,Validar almacenamiento persistente y estrategia de respaldo al desplegar en cloud,Diego
Frontend oculta fallback,Media,Alto,Mostrar obligatoriamente fuente y etiqueta en vivo o respaldo,Nicolas
